fips,name,count_property,count_fema_sfha,pct_fema_sfha,count_fs_risk_005_year00,pct_fs_risk_005_year00,count_fs_risk_005_year30,pct_fs_risk_005_year30,count_fs_risk_100_year00,pct_fs_risk_100_year00,count_fs_risk_100_year30,pct_fs_risk_100_year30,count_fs_risk_005_year00,pct_fs_risk_005_year00,count_fs_risk_500_year30,pct_fs_risk_500_year30,count_fs_fema_difference_year00,pct_fs_fema_difference_year00,avg_risk_score_all,avg_risk_score_2_10,avg_risk_fsf_100_year00,avg_risk_fsf_005_year0000,avg_risk_score_sfha,avg_risk_score_no_sfha,count_floodfactor1,count_floodfactor2,count_floodfactor3,count_floodfactor4,count_floodfactor5,count_floodfactor6,count_floodfactor7,count_floodfactor8,count_floodfactor9,count_floodfactor10
01001,"Autauga County, AL",30104,1651,5.5,1083,3.6,1160,3.9,3421,11.4,3572,11.9,4284,14.2,4447,14.8,1770,5.9,1.87,6.88,7.82,7.05,6.93,1.57,25656,140,348,249,398,631,579,774,1015,314
01003,"Baldwin County, AL",141260,19289,13.7,6965,4.9,9145,6.5,25220,17.9,27440,19.4,30340,21.5,32792,23.2,5931,4.2,2.40,7.03,8.03,7.40,7.62,1.57,108464,1368,2410,1633,2357,4399,3934,5248,8152,3295
01005,"Barbour County, AL",23235,924,4.0,1015,4.4,1081,4.7,2039,8.8,2127,9.2,2364,10.2,2503,10.8,1115,4.8,1.68,7.35,8.25,7.65,6.63,1.48,20731,120,163,80,141,221,243,457,814,265
01007,"Bibb County, AL",14959,911,6.1,1013,6.8,1063,7.1,1725,11.5,1766,11.8,1949,13.0,1991,13.3,814,5.4,1.88,7.64,8.25,7.75,6.29,1.60,12968,38,94,64,127,171,195,395,660,247
01009,"Blount County, AL",43089,930,2.2,2730,6.3,2943,6.8,5189,12.0,5331,12.4,5990,13.9,6162,14.3,4259,9.9,1.94,7.60,8.30,7.74,7.20,1.78,36925,94,319,273,371,548,643,1182,1829,905
01011,"Bullock County, AL",9508,754,7.9,552,5.8,584,6.1,1058,11.1,1095,11.5,1184,12.5,1221,12.8,304,3.2,1.82,7.39,8.00,7.55,5.24,1.52,8286,34,69,25,77,118,150,275,430,44
01013,"Butler County, AL",18901,769,4.1,891,4.7,919,4.9,1765,9.3,1807,9.6,1959,10.4,2023,10.7,996,5.3,1.69,7.46,8.03,7.63,5.83,1.52,16878,42,105,55,131,213,217,438,702,120
01015,"Calhoun County, AL",73044,4286,5.9,4319,5.9,4880,6.7,13059,17.9,13665,18.7,15348,21.0,15904,21.8,8773,12.0,2.32,7.07,7.80,7.24,7.01,2.02,57139,373,1110,574,1243,2073,2264,3617,3821,830
01017,"Chambers County, AL",24203,813,3.4,674,2.8,693,2.9,1547,6.4,1616,6.7,1791,7.4,1885,7.8,734,3.0,1.48,7.11,7.90,7.36,6.10,1.32,22317,65,143,54,148,249,227,357,479,164
01019,"Cherokee County, AL",32478,6580,20.3,3670,11.3,3869,11.9,7486,23.0,7759,23.9,8647,26.6,8896,27.4,906,2.8,2.76,7.41,8.17,7.57,6.78,1.73,23582,337,518,273,591,798,1056,1502,2735,1086
