fips,name,count_property,count_fema_sfha,pct_fema_sfha,count_fs_risk_005_year00,pct_fs_risk_005_year00,count_fs_risk_005_year30,pct_fs_risk_005_year30,count_fs_risk_100_year00,pct_fs_risk_100_year00,count_fs_risk_100_year30,pct_fs_risk_100_year30,count_fs_risk_005_year00,pct_fs_risk_005_year00,count_fs_risk_500_year30,pct_fs_risk_500_year30,count_fs_fema_difference_year00,pct_fs_fema_difference_year00,avg_risk_score_all,avg_risk_score_2_10,avg_risk_fsf_100_year00,avg_risk_fsf_005_year0000,avg_risk_score_sfha,avg_risk_score_no_sfha,count_floodfactor1,count_floodfactor2,count_floodfactor3,count_floodfactor4,count_floodfactor5,count_floodfactor6,count_floodfactor7,count_floodfactor8,count_floodfactor9,count_floodfactor10
01,Alabama,3013186,181955,6.0,129602,4.3,142493,4.7,398781,13.2,419476,13.9,484258,16.1,505128,16.8,216826,7.2,2.01,7.05,7.94,7.25,6.52,1.71,2507950,16182,36155,24932,40495,65119,63520,92919,119966,45948
02,Alaska,372298,1911,0.5,16022,4.3,17673,4.7,51308,13.8,54596,14.7,67570,18.1,70908,19.0,49397,13.3,2.07,6.60,7.66,6.81,5.26,2.16,301351,2991,5432,5893,6643,12716,9280,9993,11729,6270
05,Arkansas,1915572,149192,7.8,84484,4.4,86192,4.5,204727,10.7,208381,10.9,262005,13.7,266027,13.9,55535,2.9,1.81,6.83,7.79,6.90,4.77,1.55,1649346,7834,24096,16753,23506,38319,31823,44285,57412,22198
04,Arizona,3224944,128330,4.0,30654,1.0,33312,1.0,235211,7.3,251351,7.8,437043,13.6,472546,14.7,106881,3.3,1.56,4.83,6.65,5.06,3.34,1.49,2751027,72990,106751,55725,62302,63973,39564,35430,28492,8690
06,California,11336595,446239,3.9,140493,1.2,166242,1.5,1395118,12.3,1540305,13.6,2523706,22.3,2677026,23.6,948879,8.4,2.04,5.41,6.89,5.60,4.67,1.93,8658154,210676,406648,320198,420758,593867,259966,209269,166898,90161
08,Colorado,2490942,40730,1.6,23870,1.0,24456,1.0,154977,6.2,158533,6.4,228012,9.2,232522,9.3,114247,4.6,1.47,6.01,7.29,6.09,4.46,1.39,2257949,7660,37604,25191,23581,47089,23033,24524,28837,15474
09,Connecticut,1152007,57362,5.0,38063,3.3,43161,3.7,127381,11.1,137822,12.0,169494,14.7,178819,15.5,70019,6.1,1.87,6.58,7.70,6.81,6.21,1.61,973168,6233,14991,16811,17052,33164,19926,23644,30464,16554
11,District of Columbia,136110,1309,1.0,227,0.2,265,0.2,8227,6.0,9031,6.6,13194,9.7,14114,10.4,6918,5.1,1.49,5.75,7.01,5.98,6.20,1.45,121994,615,1799,1586,1470,4008,1940,1372,1047,279
10,Delaware,422994,28666,6.8,18911,4.5,22627,5.3,46627,11.0,51478,12.2,60821,14.4,65707,15.5,17961,4.2,1.89,6.76,8.05,7.11,8.03,1.45,357285,3314,6821,4299,6128,10390,6501,6455,8212,13589
12,Florida,8974526,1693584,18.9,296720,3.3,405573,4.5,2093791,23.3,2384235,26.6,2915507,32.5,3247964,36.2,400207,4.5,2.86,6.13,7.47,6.53,5.93,2.14,5726360,210110,369899,252752,352487,627066,420214,403064,457371,155203
13,Georgia,4412239,153508,3.5,85594,1.9,95153,2.2,379093,8.6,412230,9.3,487747,11.1,520993,11.8,225585,5.1,1.67,6.67,7.73,6.96,5.89,1.52,3891141,21378,43764,31873,48099,81325,70966,94408,97549,31736
15,Hawaii,380835,12145,3.2,42773,11.2,43287,11.4,99402,26.1,100054,26.3,122584,32.2,123372,32.4,87257,22.9,2.97,7.08,7.89,7.11,6.49,2.85,257448,1016,9078,10671,8668,14581,14203,24806,30602,9762
19,Iowa,2426732,149152,6.1,111183,4.6,111871,4.6,313941,12.9,313949,12.9,411426,17.0,411904,17.0,164789,6.8,1.98,6.74,7.68,6.76,6.38,1.67,2013850,6188,39587,32939,33456,73307,46748,68435,83100,29122
16,Idaho,1036610,37721,3.6,37223,3.6,40752,3.9,158765,15.3,170743,16.5,244140,23.6,257659,24.9,121044,11.7,2.20,5.84,7.31,6.05,5.63,2.08,778927,19351,32363,32226,31226,47751,23375,25149,28616,17626
17,Illinois,5241851,202976,3.9,95359,1.8,98861,1.9,538133,10.3,560571,10.7,805992,15.4,833976,15.9,335157,6.4,1.77,5.82,7.09,5.95,5.28,1.62,4407734,34889,132848,83737,91590,190649,90589,97228,86818,25769
18,Indiana,3512052,164129,4.7,83497,2.4,86502,2.5,315721,9.0,328193,9.3,461853,13.2,474917,13.5,151592,4.3,1.70,6.14,7.42,6.26,5.26,1.52,3036996,20576,63079,43177,51090,96068,48687,57299,66014,29066
